Linux 5.13.0-39-generic (atsushi-HP-EliteBook-Folio-G1) 	2022年05月13日 	_x86_64_	(4 CPU)

11時58分37秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11時58分38秒  all   32.23    0.00   16.37    5.37    0.00    0.00    0.00    2.05    0.00   43.99
11時58分39秒  all   19.80    0.00   19.29    1.52    0.00    0.00    0.00   16.24    0.00   43.15
11時58分40秒  all   21.39    0.00   17.01    0.00    0.00    0.00    0.00   34.54    0.00   27.06
11時58分41秒  all   25.76    0.25   12.88    1.26    0.00    0.00    0.00   41.67    0.00   18.18
11時58分42秒  all   16.71    0.00   13.92    0.00    0.00    0.00    0.00   58.48    0.00   10.89
11時58分43秒  all   18.14    0.00   11.59    1.76    0.00    0.25    0.00   57.18    0.00   11.08
11時58分44秒  all   28.07    0.00   13.03    0.00    0.00    0.00    0.00   56.89    0.00    2.01
11時58分45秒  all    8.52    0.00   10.03    0.00    0.00    0.00    0.00   81.20    0.00    0.25
11時58分46秒  all   11.31    0.00   10.55    0.25    0.00    0.00    0.00   73.87    0.00    4.02
11時58分47秒  all   29.10    0.00   11.19    0.00    0.00    0.25    0.00   59.45    0.00    0.00
11時58分48秒  all   21.55    0.00   10.28    0.00    0.00    0.00    0.00   68.17    0.00    0.00
11時58分49秒  all    7.73    0.00    9.23    0.00    0.00    0.00    0.00   83.04    0.00    0.00
