Linux 5.13.0-39-generic (atsushi-HP-EliteBook-Folio-G1) 	2022年05月13日 	_x86_64_	(4 CPU)

11時58分10秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11時58分11秒  all   29.74    0.00   11.79    5.13    0.00    0.26    0.00    0.77    0.00   52.31
11時58分12秒  all   13.30    0.00    7.93    1.02    0.00    0.26    0.00   18.67    0.00   58.82
11時58分13秒  all   23.02    0.00    9.72    0.77    0.00    0.00    0.00   31.97    0.00   34.53
11時58分14秒  all   20.61    0.00   10.43    1.02    0.00    0.51    0.00   40.20    0.00   27.23
11時58分15秒  all   24.56    0.00   11.14    0.00    0.00    0.00    0.00   49.11    0.00   15.19
11時58分16秒  all   13.57    0.00    8.29    0.25    0.00    0.00    0.00   61.31    0.00   16.58
11時58分17秒  all   31.49    0.00   14.11    0.50    0.00    0.00    0.00   52.39    0.00    1.51
11時58分18秒  all   26.82    0.00    9.77    0.00    0.00    0.00    0.00   61.65    0.00    1.75
11時58分19秒  all    3.00    0.00    3.00    0.00    0.00    0.00    0.00   94.00    0.00    0.00
11時58分20秒  all   18.50    0.00    9.00    0.00    0.00    0.00    0.00   71.50    0.00    1.00
11時58分21秒  all   27.07    0.00   14.04    0.00    0.00    0.25    0.00   58.65    0.00    0.00
11時58分22秒  all   24.69    0.00   10.47    0.00    0.00    0.00    0.00   64.84    0.00    0.00
11時58分23秒  all    2.00    0.00    2.75    0.00    0.00    0.00    0.00   95.25    0.00    0.00
11時58分24秒  all   14.86    0.00    8.31    0.00    0.00    0.00    0.00   76.83    0.00    0.00
