Linux 5.4.0-90-generic (atsushi-HP-EliteBook-Folio-G1) 	2021年12月08日 	_x86_64_	(4 CPU)

17時31分34秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17時31分35秒  all   32.30    0.00   22.22    1.29    0.00    0.52    0.00    0.00    0.00   43.67
17時31分36秒  all   36.05    0.00   24.21    0.79    0.00    0.26    0.00    0.00    0.00   38.68
17時31分37秒  all   38.90    0.00   29.77    0.52    0.00    0.52    0.00    0.00    0.00   30.29
17時31分38秒  all   36.70    0.00   26.86    0.80    0.00    0.00    0.00    0.00    0.00   35.64
17時31分39秒  all   35.56    0.00   27.01    0.80    0.00    0.27    0.00    0.00    0.00   36.36
17時31分40秒  all   33.33    0.00   26.98    0.53    0.00    0.26    0.00    0.00    0.00   38.89
17時31分41秒  all   38.26    0.00   26.12    0.53    0.00    0.26    0.00    0.00    0.00   34.83
17時31分42秒  all   38.68    0.00   25.70    0.76    0.00    0.25    0.00    0.00    0.00   34.61
17時31分43秒  all   32.45    0.00   28.76    0.79    0.00    0.53    0.00    0.00    0.00   37.47
17時31分44秒  all   35.70    0.00   30.13    0.51    0.00    0.25    0.00    0.00    0.00   33.42
17時31分45秒  all   39.36    0.00   27.39    0.80    0.00    0.00    0.00    0.00    0.00   32.45
